job_id,resume_id,rank,similarity_score
job_0,18159866.pdf,1,0.05226260369131786
job_0,12334140.pdf,2,0.039582662735525416
job_0,18067556.pdf,3,0.03938472511169566
job_0,12763627.pdf,4,0.03466756598031637
job_0,13405733.pdf,5,0.034220350980115624
job_1,13405733.pdf,1,0.06442965149986248
job_1,17641670.pdf,2,0.05394199297608048
job_1,13385306.pdf,3,0.04664272423045468
job_1,16186411.pdf,4,0.046091054615887604
job_1,18159866.pdf,5,0.044961821857038016
job_2,18067556.pdf,1,0.10228002213866534
job_2,13477922.pdf,2,0.09008599383396843
job_2,13405733.pdf,3,0.08766141106037967
job_2,16899268.pdf,4,0.0835019594702079
job_2,16186411.pdf,5,0.08191297897031606
job_3,18159866.pdf,1,0.10567602100155216
job_3,15802627.pdf,2,0.0916657400625422
job_3,17641670.pdf,3,0.0881621242052509
job_3,16186411.pdf,4,0.08682782491537475
job_3,13385306.pdf,5,0.07927559534008492
job_4,16899268.pdf,1,0.16487475919000968
job_4,18159866.pdf,2,0.14772143461193
job_4,13405733.pdf,3,0.13103669653633732
job_4,16186411.pdf,4,0.13015913284506375
job_4,17641670.pdf,5,0.11695169584273363
job_5,18159866.pdf,1,0.20004051932833175
job_5,17641670.pdf,2,0.17825756250388633
job_5,13405733.pdf,3,0.1689537822886622
job_5,16186411.pdf,4,0.15656370040527595
job_5,17111768.pdf,5,0.15378251934233947
job_6,18159866.pdf,1,0.17761813449544242
job_6,13405733.pdf,2,0.13571835132005158
job_6,15802627.pdf,3,0.13013922419594742
job_6,16899268.pdf,4,0.1278988833441941
job_6,14789139.pdf,5,0.11827400799309978
job_7,16186411.pdf,1,0.06374871007402934
job_7,15297298.pdf,2,0.06242925739803322
job_7,18159866.pdf,3,0.05959325882506748
job_7,18067556.pdf,4,0.0585355720631966
job_7,12763627.pdf,5,0.05216255779849575
job_8,17641670.pdf,1,0.14509925824409145
job_8,18067556.pdf,2,0.1305606155352603
job_8,18159866.pdf,3,0.11752975949966939
job_8,16533554.pdf,4,0.10931407859815123
job_8,17111768.pdf,5,0.09904486592416631
job_9,18176523.pdf,1,0.1616213258655212
job_9,18159866.pdf,2,0.16024083499115999
job_9,17111768.pdf,3,0.13796893810791933
job_9,17641670.pdf,4,0.13785087116770517
job_9,13405733.pdf,5,0.1250477057366245
job_10,17111768.pdf,1,0.15665558502951327
job_10,17641670.pdf,2,0.15150399021410058
job_10,18159866.pdf,3,0.14606038956281525
job_10,14789139.pdf,4,0.1427107365773008
job_10,13405733.pdf,5,0.1337009207565657
job_11,13477922.pdf,1,0.10389540650761933
job_11,16186411.pdf,2,0.08236320626684697
job_11,17641670.pdf,3,0.07693701007562119
job_11,16533554.pdf,4,0.07657583683596063
job_11,15802627.pdf,5,0.06634148959155552
job_12,13477922.pdf,1,0.14322258008006863
job_12,18067556.pdf,2,0.1358124638850586
job_12,18159866.pdf,3,0.11904910245403488
job_12,15802627.pdf,4,0.10996591438539982
job_12,13405733.pdf,5,0.102840794553284
job_13,18159866.pdf,1,0.27725640898655196
job_13,13405733.pdf,2,0.2243314420719652
job_13,16899268.pdf,3,0.19509074297783474
job_13,17681064.pdf,4,0.18870257974175839
job_13,15297298.pdf,5,0.1845093771501991
